date,entity_id,store_number,store_name,brand_id,brand_name,district_id,region,affiliate_id,currency,store_status,comp_eligible,plan_grain,net_sales_local,net_sales_usd,gross_sales_usd,discounts_usd,returns_usd,comp_pct,plan_usd,plan_attainment,transactions,units,ast_usd,aus_usd,upt,upt_vs_ly,ast_vs_ly,aus_vs_ly,traffic,conversion,new_customers,new_customer_sales_usd,omni_penetration
2026-07-17,LB-001,101,Lumiere Beacon Court,LUM,Lumière,NE-1,Northeast,US,USD,Open,Y,DAY,9575.47,9575.47,11181.48,1017.91,588.1,0.128971,9064.35,1.056388,108,285,88.661759,33.59814,2.638889,-0.047619,0.00353,0.053706,476,0.226891,18,1356.52,0.087042
2026-07-17,LB-002,102,Lumiere Harborlight Galleria,LUM,Lumière,NE-1,Northeast,US,USD,Open,Y,DAY,8390.11,8390.11,9701.29,859.79,451.39,0.163657,7171.79,1.169877,132,403,63.561439,20.819132,3.05303,0.146006,0.128395,-0.015367,709,0.186178,21,1134.57,0.076881
2026-07-17,LB-003,103,Lumiere Chestnut Row,ATN,Atelier Noir,NE-1,Northeast,US,USD,Open,Y,WEEK,11690.14,11690.14,14889.11,2250.61,948.36,0.124284,0,,226,759,51.726283,15.402029,3.358407,0.013573,-0.000083,-0.013474,1013,0.2231,38,1670.76,0.108848
2026-07-17,LB-004,104,Lumiere Empire Crossing,LUM,Lumière,NE-2,Northeast,US,USD,Open,Y,DAY,5152.04,5152.04,6096.05,692.9,251.11,0.106821,5206.19,0.989599,78,187,66.051795,27.551016,2.397436,-0.041026,-0.006699,0.035795,377,0.206897,12,673.73,0
2026-07-17,LB-005,105,Lumiere Granite Hill Commons,ATN,Atelier Noir,NE-2,Northeast,US,USD,Open,Y,WEEK,3283.35,3283.35,4233.97,673.27,277.35,-0.058133,0,,47,144,69.858511,22.801042,3.06383,-0.00525,0.001987,0.007275,227,0.207048,7,415.66,0.061175
2026-07-17,LB-006,106,Lumiere Liberty Wharf Outlets,BOT,Botanica,NE-2,Northeast,US,USD,Open,Y,NONE,4871.35,4871.35,5908.13,764.99,271.79,0.06228,0,,58,162,83.988793,30.070062,2.793103,-0.027717,0.007334,0.036051,364,0.159341,9,642.51,0.037287
2026-07-17,LB-007,107,Lumiere Magnolia Park,LUM,Lumière,SE-1,Southeast,US,USD,Open,Y,DAY,6832.5,6832.5,8431.94,1224.19,375.25,-0.101073,7304.6,0.935369,94,303,72.68617,22.549505,3.223404,0.001353,0.00412,0.002763,390,0.241026,15,926.75,0.051028
2026-07-17,LB-008,108,Lumiere Coral Bay Galleria,LUM,Lumière,SE-1,Southeast,US,USD,Open,Y,DAY,13633.5,13633.5,16208.28,1462.11,1112.67,0.223663,12421.15,1.097604,156,349,87.394231,39.06447,2.237179,0.019071,0.004031,-0.014759,656,0.237805,26,1931.41,0.054661
2026-07-17,LB-009,109,Lumiere Palmetto Landing,ATN,Atelier Noir,SE-1,Southeast,US,USD,Open,Y,WEEK,8046.76,8046.76,9588.77,1141.99,400.02,-0.201125,0,,140,442,57.476857,18.205339,3.157143,0.02331,0.0043,-0.018576,805,0.173913,24,1172.53,0.058465
2026-07-17,LB-010,110,Lumiere Sunset Terrace,LUM,Lumière,SE-2,Southeast,US,USD,Open,Y,DAY,3844.81,3844.81,4591.15,529.09,217.25,-0.249799,5289.2,0.726917,64,150,60.075156,25.632067,2.34375,-0.026268,0.008083,0.035277,414,0.154589,9,459.57,0.083219
