date,entity_id,store_number,store_name,brand_id,brand_name,district_id,region,affiliate_id,currency,store_status,comp_eligible,plan_grain,net_sales_local,net_sales_usd,gross_sales_usd,discounts_usd,returns_usd,comp_pct,plan_usd,plan_attainment,transactions,units,ast_usd,aus_usd,upt,upt_vs_ly,ast_vs_ly,aus_vs_ly,traffic,conversion,new_customers,new_customer_sales_usd,omni_penetration
2026-07-15,LB-001,101,Lumiere Beacon Court,LUM,Lumière,NE-1,Northeast,US,USD,Open,Y,DAY,6823.85,6823.85,8267.92,1045.07,399,0.040051,6647.19,1.026577,77,209,88.621429,32.65,2.714286,-0.015406,-0.00047,0.01517,341,0.225806,13,979.27,0.071515
2026-07-15,LB-002,102,Lumiere Harborlight Galleria,LUM,Lumière,NE-1,Northeast,US,USD,Open,Y,DAY,5806.95,5806.95,7183.52,1073,303.57,0.046329,5259.32,1.104126,91,290,63.812637,20.023966,3.186813,0.159906,0.138314,-0.018615,492,0.184959,15,813.61,0.053212
2026-07-15,LB-003,103,Lumiere Chestnut Row,ATN,Atelier Noir,NE-1,Northeast,US,USD,Open,Y,WEEK,7790.49,7790.49,9482.29,1154.01,537.79,-0.024175,0,,150,486,51.9366,16.029815,3.24,-0.00008,0.001847,0.001927,674,0.222552,23,1015.36,0.013601
2026-07-15,LB-004,104,Lumiere Empire Crossing,LUM,Lumière,NE-2,Northeast,US,USD,Open,Y,DAY,3679.41,3679.41,4247.57,340.63,227.53,0.04069,3817.87,0.963734,55,138,66.898364,26.662391,2.509091,0.047101,0.002846,-0.042264,265,0.207547,8,454.91,0.065307
2026-07-15,LB-005,105,Lumiere Granite Hill Commons,ATN,Atelier Noir,NE-2,Northeast,US,USD,Open,Y,WEEK,2589.73,2589.73,3073.02,343.5,139.79,0.136126,0,,37,117,69.992703,22.134444,3.162162,0.033182,0.013301,-0.019242,179,0.206704,5,297.47,0.13813
2026-07-15,LB-006,106,Lumiere Liberty Wharf Outlets,BOT,Botanica,NE-2,Northeast,US,USD,Open,Y,NONE,3425.89,3425.89,4174.91,529.16,219.86,0.011127,0,,41,118,83.558293,29.032966,2.878049,0.046563,-0.013535,-0.057424,263,0.155894,7,497.17,0.025328
2026-07-15,LB-007,107,Lumiere Magnolia Park,LUM,Lumière,SE-1,Southeast,US,USD,Open,Y,DAY,5686.9,5686.9,6995.23,888.55,419.78,0.184051,5356.71,1.06164,78,244,72.908974,23.306967,3.128205,-0.002601,0.001889,0.004502,331,0.23565,12,743.67,0.094496
2026-07-15,LB-008,108,Lumiere Coral Bay Galleria,LUM,Lumière,SE-1,Southeast,US,USD,Open,Y,DAY,8517.11,8517.11,9994.05,965.25,511.69,0.024988,9108.84,0.935038,98,211,86.909286,40.36545,2.153061,-0.016631,-0.006389,0.010415,417,0.235012,14,1034.22,0.124561
2026-07-15,LB-009,109,Lumiere Palmetto Landing,ATN,Atelier Noir,SE-1,Southeast,US,USD,Open,Y,WEEK,5942.01,5942.01,7212.31,787.56,482.74,-0.034234,0,,104,329,57.134712,18.060821,3.163462,-0.021704,-0.006375,0.015669,600,0.173333,17,825.6,0.050828
2026-07-15,LB-010,110,Lumiere Sunset Terrace,LUM,Lumière,SE-2,Southeast,US,USD,Open,Y,DAY,3176.23,3176.23,3901.15,519.42,205.5,-0.187341,3878.75,0.81888,53,128,59.928868,24.814297,2.415094,-0.006449,-0.003342,0.003126,342,0.154971,8,407.52,0
2026-07-15,LB-011,111,Lumiere Bluegrass Commons,BOT,Botanica,SE-2,Southeast,US,USD,Open,Y,NONE,3952.54,3952.54,4754.22,524.24,277.44,-0.03294,0,,58,193,68.147241,20.479482,3.327586,-0.011608,0.000407,0.012156,268,0.216418,10,579.25,0.016432
2026-07-15,LB-012,112,Lumiere Old Harbour Walk,ATN,Atelier Noir,SE-2,Southeast,US,USD,Open,Y,WEEK,2519.8,2519.8,2947.6,257.21,170.59,0.233485,0,,43,111,58.6,22.700901,2.581395,-0.028507,0.003999,0.03346,181,0.237569,6,298.86,0.042888
2026-07-15,LB-014,114,Lumiere Copper Row,ATN,Atelier Noir,MW-1,Midwest,US,USD,Open,Y,WEEK,5488.16,5488.16,6573.07,572.35,512.56,0.032477,0,,88,168,62.365455,32.667619,1.909091,0.027043,-0.002722,-0.02898,363,0.242424,15,795.16,0.094296
2026-07-15,LB-015,115,Lumiere Riverbend Square,LUM,Lumière,MW-1,Midwest,US,USD,Open,Y,DAY,3778.23,3778.23,4416.84,441.81,196.8,0.073644,3937.18,0.959628,73,243,51.756575,15.548272,3.328767,0.024236,0.000107,-0.023558,484,0.150826,11,483.92,0.117616
2026-07-15,LB-016,116,Lumiere Northgate Pavilion,BOT,Botanica,MW-2,Midwest,US,USD,Open,Y,NONE,4196.16,4196.16,4954.08,487.67,270.25,-0.056167,0,,48,110,87.42,38.146909,2.291667,-0.017857,0.002823,0.021056,266,0.180451,8,594.46,0
2026-07-15,LB-017,117,Lumiere Prairie Gate Outlets,ATN,Atelier Noir,MW-2,Midwest,US,USD,Open,Y,WEEK,2625.17,2625.17,3195.68,367.13,203.38,0.085234,0,,47,97,55.854681,27.063608,2.06383,-0.002869,-0.007126,-0.00427,281,0.16726,8,379.81,0.125009
2026-07-15,LB-018,118,Lumiere Desert Bloom Galleria,LUM,Lumière,SW-1,Southwest,US,USD,Open,Y,DAY,6247.39,6247.39,7580.97,970.68,362.9,-0.099887,6574.14,0.950298,87,214,71.80908,29.193411,2.45977,-0.005843,0.003575,0.009473,461,0.18872,14,854.53,0.091955
2026-07-15,LB-019,119,Lumiere Alamo Heights Market,ATN,Atelier Noir,SW-1,Southwest,US,USD,Open,Y,WEEK,6169.12,6169.12,7690.8,1162.79,358.89,0.095904,0,,127,330,48.575748,18.694303,2.598425,0.042967,0.000984,-0.040253,816,0.155637,20,825.79,0.049967
2026-07-15,LB-020,120,Lumiere Cypress Crossing,BOT,Botanica,SW-2,Southwest,US,USD,Open,Y,NONE,3506.45,3506.45,4303.73,517.34,279.94,0.043512,0,,59,112,59.431356,31.307589,1.898305,0.020787,0.008138,-0.012391,314,0.187898,10,505.17,0.099226
2026-07-15,LB-021,121,Lumiere Santa Rosa Plaza,LUM,Lumière,SW-2,Southwest,US,USD,Open,Y,DAY,1948.57,1948.57,2241.16,200.8,91.79,-0.068984,2016.07,0.966519,24,70,81.190417,27.836714,2.916667,0.038813,0.008601,-0.029083,135,0.177778,4,276.05,0.066669
2026-07-15,LB-022,122,Lumiere Pacific Heights Court,LUM,Lumière,WE-1,West,US,USD,Open,Y,DAY,10646.9,10646.9,12665.09,1264.79,753.4,0.020708,10226.45,1.041114,144,366,73.936806,29.089891,2.541667,0.026862,-0.000557,-0.026702,644,0.223602,22,1382.62,0.074711
2026-07-15,LB-023,123,Lumiere Cascade Commons,BOT,Botanica,WE-1,West,US,USD,Opening Soon,N,NONE,6922.64,6922.64,8539.26,1187.48,429.14,,0,,145,453,47.742345,15.281766,3.124138,,,,745,0.194631,24,973.94,0.143178
2026-07-15,LB-024,124,Lumiere Sunfield Galleria,ATN,Atelier Noir,WE-2,West,US,USD,Open,Y,WEEK,8271.55,8271.55,10066.89,1172.31,623.03,-0.076609,0,,112,290,73.853125,28.522586,2.589286,-0.014769,-0.002408,0.012546,462,0.242424,19,1192.73,0.097063
2026-07-15,LB-025,125,Lumiere Silver Mesa Mall,LUM,Lumière,WE-2,West,US,USD,Open,N,DAY,2793.92,2793.92,3619.33,577.61,247.8,,3009.5,0.928367,33,87,84.664242,32.114023,2.636364,,,,152,0.217105,5,359.82,0.046834
2026-07-15,LB-026,126,Lumiere Bloor Court,LUM,Lumière,CA-1,Canada,CA,CAD,Open,Y,DAY,8054.88,5966.58,7010.87,656.02,388.27,-0.022583,5746.29,1.038336,93,214,64.156774,27.881215,2.301075,0.016754,-0.001564,-0.018016,538,0.172862,15,818,0.094842
2026-07-15,LB-027,127,Lumiere Queen West Pavilion,ATN,Atelier Noir,CA-1,Canada,CA,CAD,Open,Y,WEEK,5269.19,3903.1,4833.78,708.39,222.28,-0.030704,0,,53,132,73.643396,29.568939,2.490566,-0.018317,-0.012415,0.006012,217,0.24424,8,500.78,0.068066
