date,entity_id,store_number,store_name,brand_id,brand_name,district_id,region,affiliate_id,currency,store_status,comp_eligible,plan_grain,net_sales_local,net_sales_usd,gross_sales_usd,discounts_usd,returns_usd,comp_pct,plan_usd,plan_attainment,transactions,units,ast_usd,aus_usd,upt,traffic,conversion,new_customers,new_customer_sales_usd,omni_penetration
2026-07-19,LB-001,101,Lumiere Beacon Court,LUM,Lumière,NE-1,Northeast,US,USD,Open,Y,DAY,7182.39,7182.39,8616.44,988.41,445.64,-0.054325,7931.31,0.905574,81,218,88.671481,32.946743,2.691358,358,0.226257,14,1055.19,0.137225
2026-07-19,LB-002,102,Lumiere Harborlight Galleria,LUM,Lumière,NE-1,Northeast,US,USD,Open,Y,DAY,6063.21,6063.21,7076.69,576.89,436.59,-0.005806,6275.32,0.966199,108,290,56.140833,20.907621,2.685185,568,0.190141,17,811.24,0.121596
2026-07-19,LB-003,103,Lumiere Chestnut Row,ATN,Atelier Noir,NE-1,Northeast,US,USD,Open,Y,WEEK,10166.26,10166.26,11963.44,1267.37,529.81,0.118414,0,,196,643,51.868673,15.810669,3.280612,889,0.220472,30,1322.65,0.16063
2026-07-19,LB-004,104,Lumiere Empire Crossing,LUM,Lumière,NE-2,Northeast,US,USD,Open,Y,DAY,4414.32,4414.32,5496.22,732.02,349.88,0.101988,4555.42,0.969026,67,164,65.885373,26.916585,2.447761,322,0.208075,12,672.03,0.207436
2026-07-19,LB-005,105,Lumiere Granite Hill Commons,ATN,Atelier Noir,NE-2,Northeast,US,USD,Open,Y,WEEK,3045.16,3045.16,3906.87,612.17,249.54,0.03747,0,,44,138,69.208182,22.066377,3.136364,212,0.207547,7,411.79,0.161844
2026-07-19,LB-006,106,Lumiere Liberty Wharf Outlets,BOT,Botanica,NE-2,Northeast,US,USD,Open,Y,NONE,4371.05,4371.05,5508.82,759.61,378.16,0.047357,0,,52,147,84.058654,29.735034,2.826923,328,0.158537,8,571.6,0.158491
2026-07-19,LB-007,107,Lumiere Magnolia Park,LUM,Lumière,SE-1,Southeast,US,USD,Open,Y,DAY,5987.33,5987.33,7230.49,913.35,329.81,-0.004443,6391.53,0.93676,82,262,73.01622,22.852405,3.195122,340,0.241176,12,744.77,0.138544
2026-07-19,LB-008,108,Lumiere Coral Bay Galleria,LUM,Lumière,SE-1,Southeast,US,USD,Open,Y,DAY,10664.97,10664.97,13474.58,2001.64,807.97,-0.010682,10868.5,0.981273,122,267,87.417787,39.943708,2.188525,513,0.237817,19,1411.8,0.130878
2026-07-19,LB-009,109,Lumiere Palmetto Landing,ATN,Atelier Noir,SE-1,Southeast,US,USD,Open,Y,WEEK,6765.07,6765.07,7895.61,762.07,368.47,-0.200794,0,,118,375,57.331102,18.040187,3.177966,660,0.178788,20,974.63,0.16086
2026-07-19,LB-010,110,Lumiere Sunset Terrace,LUM,Lumière,SE-2,Southeast,US,USD,Open,Y,DAY,3495.76,3495.76,4301.44,586.6,219.08,-0.232411,4628.05,0.755342,58,140,60.271724,24.969714,2.413793,364,0.159341,8,409.85,0.047409
2026-07-19,LB-011,111,Lumiere Bluegrass Commons,BOT,Botanica,SE-2,Southeast,US,USD,Open,Y,NONE,5651.01,5651.01,6679.64,750.74,277.89,0.082712,0,,83,279,68.084458,20.254516,3.361446,387,0.21447,14,810.21,0.076107
2026-07-19,LB-012,112,Lumiere Old Harbour Walk,ATN,Atelier Noir,SE-2,Southeast,US,USD,Open,Y,WEEK,2748.97,2748.97,3197.49,300.63,147.89,-0.055106,0,,47,122,58.488723,22.532541,2.595745,198,0.237374,8,397.72,0.127717
2026-07-19,LB-014,114,Lumiere Copper Row,ATN,Atelier Noir,MW-1,Midwest,US,USD,Open,Y,WEEK,6285.49,6285.49,7923.89,969.41,668.99,0.123743,0,,101,190,62.232574,33.081526,1.881188,427,0.236534,16,846.36,0.078093
2026-07-19,LB-015,115,Lumiere Riverbend Square,LUM,Lumière,MW-1,Midwest,US,USD,Open,Y,DAY,4007.5,4007.5,4911.51,699.98,204.03,-0.069093,4697.77,0.853064,77,250,52.045455,16.03,3.246753,519,0.148362,12,530.86,0.185263
2026-07-19,LB-016,116,Lumiere Northgate Pavilion,BOT,Botanica,MW-2,Midwest,US,USD,Open,Y,NONE,5169.28,5169.28,5972.32,505.13,297.91,0.010424,0,,59,139,87.614915,37.189065,2.355932,333,0.177177,9,670.25,0.131601
2026-07-19,LB-017,117,Lumiere Prairie Gate Outlets,ATN,Atelier Noir,MW-2,Midwest,US,USD,Open,Y,WEEK,3596.05,3596.05,4315.06,509.4,209.61,0.109272,0,,64,131,56.188281,27.450763,2.046875,389,0.164524,10,477.6,0
2026-07-19,LB-018,118,Lumiere Desert Bloom Galleria,LUM,Lumière,SW-1,Southwest,US,USD,Open,Y,DAY,7781.07,7781.07,9814.39,1419.4,613.92,-0.032249,7844.15,0.991958,108,265,72.046944,29.362528,2.453704,573,0.188482,19,1163.56,0.138902
2026-07-19,LB-019,119,Lumiere Alamo Heights Market,ATN,Atelier Noir,SW-1,Southwest,US,USD,Open,Y,WEEK,7535.28,7535.28,9604.79,1498.39,571.12,0.02879,0,,155,395,48.61471,19.076658,2.548387,1022,0.151663,26,1074.39,0.172159
2026-07-19,LB-020,120,Lumiere Cypress Crossing,BOT,Botanica,SW-2,Southwest,US,USD,Open,Y,NONE,3831.84,3831.84,4922.69,747.15,343.7,-0.006758,0,,65,123,58.951385,31.153171,1.892308,339,0.19174,11,551.2,0.108342
2026-07-19,LB-021,121,Lumiere Santa Rosa Plaza,LUM,Lumière,SW-2,Southwest,US,USD,Open,Y,DAY,2420.68,2420.68,2848.75,238.98,189.09,0.069616,2405.54,1.006294,30,86,80.689333,28.147442,2.866667,171,0.175439,5,342.93,0.082807
2026-07-19,LB-022,122,Lumiere Pacific Heights Court,LUM,Lumière,WE-1,West,US,USD,Open,Y,DAY,13257.69,13257.69,15846.75,1584.22,1004.84,0.195703,12202.01,1.086517,180,457,73.653833,29.010263,2.538889,815,0.220859,27,1690.36,0.128456
2026-07-19,LB-023,123,Lumiere Cascade Commons,BOT,Botanica,WE-1,West,US,USD,Opening Soon,N,NONE,9764.57,9764.57,11224.2,953.15,506.48,,0,,204,641,47.865539,15.233339,3.142157,1045,0.195215,30,1220.57,0.150339
2026-07-19,LB-024,124,Lumiere Sunfield Galleria,ATN,Atelier Noir,WE-2,West,US,USD,Open,Y,WEEK,8692.31,8692.31,10873.81,1674.33,507.17,-0.207557,0,,117,309,74.293248,28.130453,2.641026,472,0.247881,18,1136.69,0.111654
2026-07-19,LB-025,125,Lumiere Silver Mesa Mall,LUM,Lumière,WE-2,West,US,USD,Open,N,DAY,3737.01,3737.01,4682.62,633.46,312.15,,3590.88,1.040695,44,112,84.932045,33.366161,2.545455,205,0.214634,7,505.35,0.212651
2026-07-19,LB-026,126,Lumiere Bloor Court,LUM,Lumière,CA-1,Canada,CA,CAD,Open,Y,DAY,10501.38,7778.8,9818.94,1463.9,576.24,0.079294,6856.37,1.134536,121,272,64.287603,28.598529,2.247934,690,0.175362,19,1038.24,0.137765
2026-07-19,LB-027,127,Lumiere Queen West Pavilion,ATN,Atelier Noir,CA-1,Canada,CA,CAD,Open,Y,WEEK,6124.08,4536.36,5569.79,669.77,363.66,-0.077609,0,,61,154,74.366557,29.456883,2.52459,254,0.240157,11,695.33,0.117729
2026-07-19,LB-028,128,Lumiere Pacific Centre Walk,LUM,Lumière,CA-1,Canada,CA,CAD,Open,Y,DAY,10457.82,7746.53,9784.39,1499.07,538.79,0.066285,6989.79,1.108264,137,396,56.544015,19.561944,2.890511,639,0.214397,21,1009.31,0.119646
2026-07-19,LB-029,129,Lumiere Sainte-Catherine Row,BOT,Botanica,CA-1,Canada,CA,CAD,Open,Y,NONE,6031.41,4467.71,5494.53,750.96,275.86,-0.036194,0,,99,183,45.128384,24.413716,1.848485,581,0.170396,17,652.1,0.250764
