date,entity_id,store_number,store_name,brand_id,brand_name,district_id,region,affiliate_id,currency,store_status,comp_eligible,plan_grain,net_sales_local,net_sales_usd,gross_sales_usd,discounts_usd,returns_usd,comp_pct,plan_usd,plan_attainment,transactions,units,ast_usd,aus_usd,upt,upt_vs_ly,ast_vs_ly,aus_vs_ly,traffic,conversion,new_customers,new_customer_sales_usd,omni_penetration
2026-07-22,LB-001,101,Lumiere Beacon Court,LUM,Lumière,NE-1,Northeast,US,USD,Open,Y,DAY,6060.92,6060.92,7520.93,959.24,500.77,-0.100248,6647.19,0.911802,69,184,87.83942,32.939783,2.666667,0.013333,-0.008969,-0.022008,301,0.229236,11,821.3,0.12231
2026-07-22,LB-002,102,Lumiere Harborlight Galleria,LUM,Lumière,NE-1,Northeast,US,USD,Open,Y,DAY,6437.11,6437.11,7489,743.28,308.61,0.242647,5259.32,1.223943,101,319,63.733762,20.179028,3.158416,0.153072,0.131916,-0.018348,534,0.189139,15,812.61,0.080173
2026-07-22,LB-003,103,Lumiere Chestnut Row,ATN,Atelier Noir,NE-1,Northeast,US,USD,Open,Y,WEEK,8347.04,8347.04,10074.82,1239.38,488.4,0.044855,0,,161,542,51.844969,15.400443,3.36646,0.012568,-0.000574,-0.012979,747,0.215529,25,1101.71,0.087757
2026-07-22,LB-004,104,Lumiere Empire Crossing,LUM,Lumière,NE-2,Northeast,US,USD,Open,Y,DAY,3903.95,3903.95,4898.22,685.64,308.63,0.115606,3817.87,1.022547,59,147,66.168644,26.557483,2.491525,0.048023,0.002154,-0.043767,282,0.20922,10,562.43,0.057531
2026-07-22,LB-005,105,Lumiere Granite Hill Commons,ATN,Atelier Noir,NE-2,Northeast,US,USD,Open,Y,WEEK,2400.68,2400.68,2919.15,372.51,145.96,-0.113368,0,,35,109,68.590857,22.024587,3.114286,-0.012544,-0.012039,0.000511,171,0.204678,6,349.81,0.061724
2026-07-22,LB-006,106,Lumiere Liberty Wharf Outlets,BOT,Botanica,NE-2,Northeast,US,USD,Open,Y,NONE,3470.81,3470.81,4260.36,504.49,285.06,-0.034285,0,,41,117,84.653902,29.665043,2.853659,-0.00238,0.012823,0.015239,262,0.156489,6,431.73,0.066973
2026-07-22,LB-007,107,Lumiere Magnolia Park,LUM,Lumière,SE-1,Southeast,US,USD,Open,Y,DAY,5810.42,5810.42,7184.17,988.15,385.6,0.108015,5356.71,1.084699,80,256,72.63025,22.696953,3.2,-0.002597,-0.002786,-0.00019,336,0.238095,13,802.56,0.080581
2026-07-22,LB-008,108,Lumiere Coral Bay Galleria,LUM,Lumière,SE-1,Southeast,US,USD,Open,Y,DAY,9088.7,9088.7,11186.62,1630.3,467.62,-0.046602,9108.84,0.997789,104,232,87.391346,39.175431,2.230769,0.039119,-0.000765,-0.038383,449,0.231626,15,1114.24,0.116472
2026-07-22,LB-009,109,Lumiere Palmetto Landing,ATN,Atelier Noir,SE-1,Southeast,US,USD,Open,Y,WEEK,5467.53,5467.53,7035.97,1098.39,470.05,-0.129473,0,,95,298,57.552947,18.347416,3.136842,-0.014135,0.007979,0.022431,540,0.175926,15,733.8,0.054063
2026-07-22,LB-010,110,Lumiere Sunset Terrace,LUM,Lumière,SE-2,Southeast,US,USD,Open,Y,DAY,3126.88,3126.88,3628.35,307.75,193.72,-0.225999,3878.75,0.806157,52,123,60.132308,25.421789,2.365385,-0.007123,0.012156,0.019416,337,0.154303,8,408.9,0.09733
2026-07-22,LB-011,111,Lumiere Bluegrass Commons,BOT,Botanica,SE-2,Southeast,US,USD,Open,Y,NONE,4382.16,4382.16,5422.4,704.62,335.62,-0.035869,0,,64,217,68.47125,20.194286,3.390625,0.000757,0.009325,0.008561,,,9,523.81,0.014885
2026-07-22,LB-012,112,Lumiere Old Harbour Walk,ATN,Atelier Noir,SE-2,Southeast,US,USD,Open,Y,WEEK,2348.83,2348.83,2682.92,226.01,108.08,0.024205,0,,40,103,58.72075,22.804175,2.575,0.00425,-0.0014,-0.005626,165,0.242424,7,349.39,0
2026-07-22,LB-014,114,Lumiere Copper Row,ATN,Atelier Noir,MW-1,Midwest,US,USD,Open,Y,WEEK,5669.94,5669.94,7101.02,884.76,546.32,0.079949,0,,91,170,62.307033,33.352588,1.868132,-0.025323,-0.003124,0.022776,381,0.238845,13,688.49,0.08596
2026-07-22,LB-015,115,Lumiere Riverbend Square,LUM,Lumière,MW-1,Midwest,US,USD,Open,Y,DAY,3318.59,3318.59,4077.26,501.06,257.61,-0.127591,3937.18,0.842885,64,208,51.852969,15.95476,3.25,0.027056,-0.004909,-0.031123,432,0.148148,10,440.75,0.033487
2026-07-22,LB-016,116,Lumiere Northgate Pavilion,BOT,Botanica,MW-2,Midwest,US,USD,Open,Y,NONE,4251.12,4251.12,5235.01,672.55,311.34,-0.014254,0,,49,116,86.757551,36.647586,2.367347,0.020408,0.005864,-0.014254,276,0.177536,8,589.95,0.155719
2026-07-22,LB-017,117,Lumiere Prairie Gate Outlets,ATN,Atelier Noir,MW-2,Midwest,US,USD,Open,Y,WEEK,2745.48,2745.48,3462.28,498.29,218.51,-0.035858,0,,49,102,56.030204,26.916471,2.081633,0.030711,0.003494,-0.026406,297,0.164983,8,381.01,0.083031
2026-07-22,LB-018,118,Lumiere Desert Bloom Galleria,LUM,Lumière,SW-1,Southwest,US,USD,Open,Y,DAY,7120.77,7120.77,8784.97,1086.26,577.94,0.088061,6574.14,1.083149,99,250,71.92697,28.48308,2.525253,0.025884,0.000137,-0.025098,525,0.188571,17,1039.34,0
2026-07-22,LB-019,119,Lumiere Alamo Heights Market,ATN,Atelier Noir,SW-1,Southwest,US,USD,Open,Y,WEEK,6027.83,6027.83,7666.46,1175.85,462.78,-0.096593,0,,124,307,48.611532,19.634625,2.475806,-0.009677,0.005405,0.015229,792,0.156566,22,909.04,0.040308
2026-07-22,LB-020,120,Lumiere Cypress Crossing,BOT,Botanica,SW-2,Southwest,US,USD,Open,Y,NONE,3517.7,3517.7,4370.89,664.22,188.97,0.184072,0,,60,115,58.628333,30.588696,1.916667,0.008772,-0.013273,-0.021854,319,0.188088,9,448.51,0.080544
2026-07-22,LB-022,122,Lumiere Pacific Heights Court,LUM,Lumière,WE-1,West,US,USD,Open,Y,DAY,11276.08,11276.08,13671.66,1704.98,690.6,0.033449,10226.45,1.102639,153,394,73.699869,28.619492,2.575163,0.005605,-0.000323,-0.005895,691,0.221418,24,1503.48,0.097301
2026-07-22,LB-023,123,Lumiere Cascade Commons,BOT,Botanica,WE-1,West,US,USD,Opening Soon,N,NONE,8233.81,8233.81,9914.44,1144.46,536.17,,0,,172,548,47.870988,15.025201,3.186047,,,,862,0.199536,29,1180.02,0.079467
2026-07-22,LB-024,124,Lumiere Sunfield Galleria,ATN,Atelier Noir,WE-2,West,US,USD,Open,Y,WEEK,8449.94,8449.94,10690.91,1628.83,612.14,-0.056182,0,,114,294,74.122281,28.741293,2.578947,-0.003027,0.001772,0.004813,470,0.242553,17,1071.07,0.090865
2026-07-22,LB-025,125,Lumiere Silver Mesa Mall,LUM,Lumière,WE-2,West,US,USD,Open,N,DAY,3223.46,3223.46,3753.02,319.81,209.75,,3009.5,1.071095,38,97,84.827895,33.231546,2.552632,,,,176,0.215909,6,432.62,0.046283
2026-07-22,LB-026,126,Lumiere Bloor Court,LUM,Lumière,CA-1,Canada,CA,CAD,Open,Y,DAY,9334.51,6914.45,8309.73,1020.84,374.43,0.145665,5746.29,1.203289,108,242,64.022685,28.572107,2.240741,-0.029357,-0.002847,0.027311,606,0.178218,17,925.13,0.108986
